Part Number ,Description ,Type,Supplier name ,UOM ,,
ING000948,Butternut Squash Diced 20mm IQF,Frozen,foodnet,,,
ING002731,Courgette Green Diced 20mm FRZ c/s 10 kg,Frozen,foodnet,,,
ING002739,Aubergine Diced 20mm FRZ,Frozen,foodnet,,,
ING000124,Cream Double 2.27ltr,FRESH,Foodspeed Ltd,Kg,,
ING001524,Cheese Cheddar Matue Grated,FRESH,Foodspeed Ltd,Kg,,
ING002035,Cheese Emmenthal Grated 1kg,FRESH,Foodspeed Ltd,Kg,,
ING002476,Milk Cashew Rude Health 1L x 6ea,FRESH,Foodspeed Ltd,Ltr,,
ING002482,Cream Single 1 x 2.27Ltr,FRESH,Foodspeed Ltd,Ltr,,
ING000134,Cheese Cheddar Mature Slice Full Fat 20gm kg,FRESH,Foodspeed Ltd,Kg,,
ING001064,Cheese Mozzarella Grated 2kg,FRESH,Foodspeed Ltd,Kg,,
ING001476,Margarine Vegetable KTC (2KG/Tub),FRESH,Foodspeed Ltd,Kg,,
ING000965,Yoghurt Natural Set 5kg,FRESH,Foodspeed Ltd,Kg,,
ING000174,Egg Whole Pasteurised  1kg / 10kg,FRESH,Foodspeed Ltd,,,
ING000125,Cream Single 2.27Ltr,FRESH,Foodspeed Ltd,,,
ING000128,Milk Whole,FRESH,Foodspeed Ltd,,,
ING000131,Yoghurt Greek Style Croxton 5KG,FRESH,Foodspeed Ltd,,,
ING000535,Butter Unsalted 40x250gm,FRESH,Foodspeed Ltd,Kg,,
ING002223,Milk Whole Pergal 13.6Ltr,FRESH,Foodspeed Ltd,Kg,,
ING002474,Mediterranean Chargrilled Vegetable 25mm,FROZEN,Freshcut Foods,Kg,,
ING000865,Bean Kidney Red 6 x 2.5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING002450,Milk Coconut 20kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING002688,coconut milk Chaokoh 49 c/s,AMBIENT,Gandhi Oriental foods,,,
ING000212,Golden Raisins Sultanas 12.5 kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING001326,Seeds Melon 5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000991,Lentil Puy Green Speckled KTC 4x2kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING001945,Chick Pea Tinned 6x2.6KG,AMBIENT,Gandhi Oriental foods,Kg,,
ING000070,Bean Black Eye Tin Riverdene 800gm,AMBIENT,Gandhi Oriental foods,Kg,,
ING000268,Cornflour 3.5kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING000299,Lentil Red Masoor Dall Split,AMBIENT,Gandhi Oriental foods,Kg,,
ING001292,Rice Jasmine 20kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING001248,Vermicelli Roasted (Poly) (48x150GM),AMBIENT,Gandhi Oriental foods,Kg,,
ING000915,Wheat Bulgar Brown Cracked 8 x 900gm,AMBIENT,Gandhi Oriental foods,Kg,,
ING001329,Semolina Yellow Coarse,AMBIENT,Gandhi Oriental foods,Kg,,
ING002765,Paste Tomato W/W 4 X 4.55 Kg 60 c/s,AMBIENT,Gandhi Oriental foods,,,
ING002740,Chopped Tomatoes GOF 10kg 104 c/s,AMBIENT,Gandhi Oriental foods,,,
ING000250,Tomato Chopped Tinned 6 x 2.55kg,AMBIENT,Gandhi Oriental foods,Kg,,
ING002405,Rice Basmati Sella 20kg Tilda,AMBIENT,Gandhi Oriental foods,Kg,,
ING000318,Lettuce Iceberg 300gm (C/s 12 Each),FRESH,Gradegold Catering,Kg,,
ING000378,Lemon (1ea/100GM),FRESH,Gradegold Catering,Kg,,
ING000385,Parsley Flat Leaf Fresh (1kg pack),FRESH,Gradegold Catering,Kg,,
ING000944,Tomato MM (6KG),FRESH,Gradegold Catering,Kg,,
ING001139,Kafir Lime Leaf (50GM),FRESH,Gradegold Catering,Kg,,
ING000030,Cucumber Diced 20MM 1KG,FRESH,Gradegold Catering,Kg,,
ING000080,Celery Diced 10mm 1KG,FRESH,Gradegold Catering,Kg,,
ING000170,Pepper Red Julienne 2MM,FRESH,Gradegold Catering,Kg,,
ING000381,Basil (1x100GR),FRESH,Gradegold Catering,Kg,,
ING000390,Potato Diced 20mm 1KG,FRESH,Gradegold Catering,Kg,,
